Contract;Service name
Brisbane;CityCycle
Bruxelles-Capitale;villo
Namur;Li bia velo
Santander;Tusbic
Seville;SEVICI
Valence;Valenbisi
Amiens;Velam
Besancon;VéloCité
Cergy-Pontoise;Velo2
Creteil;Cristolib
Lyon;Vélo'V
Marseille;Le vélo
Mulhouse;VéloCité
Nancy;vélOstan'lib
Nantes;Bicloo
Rouen;cy'clic
Toulouse;Vélô
Dublin;dublinbikes
Toyama;cyclocity
Vilnius;Cyclocity
Luxembourg;Veloh
Lillestrom;Bysykkel
Kazan;Veli'k
Goteborg;Göteborg
Lund;Lundahoj
Stockholm;Cyclocity
Ljubljana;Bicikelj
